"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"age";"reliability";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Alloway et al. (2004)";"Alloway";"Gathercole";"Willis";"Adams";"";"";NA;2004;633;0.16;5;"n";27;633;0.16;0.159;0.00150230278481013;0.00150328659645728
"Alloway et al. (2006) exp 1";"Alloway";"Gathercole";"Pickering";"";"";"";NA;2006;285;0.43;7.5;"n";27;285;0.43;0.425;0.00233939440140845;0.00236399785431338
"Alloway et al. (2006) exp 2";"Alloway";"Gathercole";"Pickering";"";"";"";NA;2006;210;0.36;10;"n";27;210;0.36;0.36;0.00362486200956938;0.00362486200956938
"Alloway et al. (2006) exp 3";"Alloway";"Gathercole";"Pickering";"";"";"";NA;2006;213;0.37;4.96;"y";27;213;0.37;0.37;0.00351387551886792;0.00351387551886792
"Anderson (2007) exp 1";"Andersson";"Lyxell";"";"";"";"";NA;2007;47;0.31;10.25;"n";27;47;0.31;0.31;0.017761635;0.017761635
"Anderson (2007) exp 2";"Andersson";"Lyxell";"";"";"";"";NA;2007;50;0.4;9.42;"n";27;50;0.4;0.4;0.0144;0.0144
"Cantor et al. (1991)";"Cantor";"Engle";"Hamilton";"";"";"";NA;1991;49;0.32;20.43;"n";27;49;0.32;0.37;0.01678512;0.015519616875
"Conway et al. (2002)";"Conway";"Cowan";"Bunting";"Therriault";"Minkoff";"";NA;2002;120;0.43;20.43;"y";27;120;0.43;0.433333333;0.0055830925210084;0.00554373898101587
"de Jonge (1996)";"de Jonge";"de Jong";"";"";"";"";NA;1996;289;0.27;7.25;"n";27;289;0.27;0.27;0.00298442503472222;0.00298442503472222
"Dougherty & Hunter (2003) exp 1";"Dougherty";"Hunter";"";"";"";"";NA;2003;64;0.56;20.43;"n";27;64;0.56;0.556;0.00747849142857143;0.00757608042057143
"Dougherty & Hunter (2003) exp 2";"Dougherty";"Hunter";"";"";"";"";NA;2003;95;0.34;20.43;"n";27;95;0.34;0.34;0.00832088680851064;0.00832088680851064
"Engle et al. (1999)";"Engle";"Tuholski";"Laughlin";"Conway";"";"";NA;1999;133;0.34;20.43;"y";27;133;0.34;0.343333333;0.00592548;0.00589499708592491
"Friedman & Miyake (2004a) exp 1";"Friedman";"Miyake";"";"";"";"";NA;2004;84;0.55;20.43;"y";27;84;0.55;0.55;0.00586152108433735;0.00586152108433735
"Friedman & Miyake (2004a) exp 2";"Friedman";"Miyake";"";"";"";"";NA;2004;84;0.48;20.43;"y";27;84;0.48;0.48;0.00713595373493976;0.00713595373493976
"Gathercole & Pickering (2000)";"Gathercole";"Pickering";"";"";"";"";NA;2000;87;0.25;7.25;"n";27;87;0.25;0.205;0.0102198401162791;0.0106711174491279
"Gathercole et al. (2004) exp 1";"Gathercole";"Pickering";"Ambridge";"Wearing";"";"";NA;2004;184;0.24;6.5;"n";27;184;0.24;0.24;0.0048531025136612;0.0048531025136612
"Gathercole et al. (2004) exp 2";"Gathercole";"Pickering";"Ambridge";"Wearing";"";"";NA;2004;154;0.39;8.5;"n";27;154;0.39;0.39;0.0046989177124183;0.0046989177124183
"Gathercole et al. (2004) exp 3";"Gathercole";"Pickering";"Ambridge";"Wearing";"";"";NA;2004;132;0.29;11;"n";27;132;0.29;0.29;0.00640360923664122;0.00640360923664122
"Gathercole et al. (2004) exp 4";"Gathercole";"Pickering";"Ambridge";"Wearing";"";"";NA;2004;105;0.38;14;"n";27;105;0.38;0.38;0.00703895538461539;0.00703895538461539
"Haarmann et al. (2003) exp 1";"Haarmann";"Davelaar";"Usher";"";"";"";NA;2003;66;0.38;20.43;"n";27;66;0.38;0.38;0.0112623286153846;0.0112623286153846
"Haarmann et al. (2003) exp 2";"Haarmann";"Davelaar";"Usher";"";"";"";NA;2003;60;0.56;20.43;"n";27;60;0.56;0.56;0.00798550779661017;0.00798550779661017
"Handley et al. (2002)";"Handley";"Capon";"Copp";"Harper";"";"";NA;2002;70;0.42;20.43;"n";27;70;0.42;0.42;0.00983068057971014;0.00983068057971014
"Jarvis & Gathercole (2003) exp 1";"Jarvis";"Gathercole";"";"";"";"";NA;2003;55;0.64;11.5;"n";27;55;0.64;0.64;0.00645504;0.00645504
"Jarvis & Gathercole (2003) exp 2";"Jarvis";"Gathercole";"";"";"";"";NA;2003;73;0.34;14.42;"n";27;73;0.34;0.34;0.01086338;0.01086338
"Kane et al. (2004)";"Kane";"Hambrick";"Tuholski";"Wilhelm";"Payne";"Engle";NA;2004;250;0.51;20.43;"y";27;250;0.51;0.51;0.0021986024497992;0.0021986024497992
"Leather & Henry (1994)";"Leather";"Henry";"";"";"";"";NA;1994;71;0.27;10.7;"n";27;71;0.27;0.27;0.0122787772857143;0.0122787772857143
"Passolunghi et al. (2007)";"Passolunghi";"Vercelloni";"Schadee";"";"";"";NA;2007;170;0.23;8.01;"y";27;170;0.23;0.23;0.00530768289940829;0.00530768289940829
"Passolunghi et al. (2008)";"Passolunghi";"Mammarella";"Altoe";"";"";"";NA;2008;72;0.18;7;"y";27;72;0.18;0.18;0.0131866163380282;0.0131866163380282
"Radvansky & Copeland (2004)";"Radvansky";"Copeland";"";"";"";"";NA;2004;160;0.54;20.43;"n";27;159;0.54;0.54;0.00315616704402516;0.00317614278481013
"Swanson (2008)";"Swanson";"";"";"";"";"";NA;2008;205;0.3;7.6;"y";27;205;0.3;0.3;0.0040593137254902;0.0040593137254902
