"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c";"vz.o";"vz.c";"z.o";"z.c"
"Apfelbaum et al. exp 1";NA;NA;101;0.26;0;"o";50.5;50.5;101;0.26;0.252184165;0;0;0.0086936976;0.00876850853567771;0.0102040816326531;0.0102040816326531;0.266108406873654;0.257743949860482
"Avery et al. exp 1";NA;NA;46;0.19;0;"r";8;8;16;0.19;0.249109031;1;1;0.020646738;0.0586493495175998;0.0232558139534884;0.0769230769230769;0.192337169219545;0.254462670409434
"Avery et al. exp 2";NA;NA;56;0.12;0;"r";9.5;9.5;19;0.12;0.313011076;3;1;0.017661952;0.0452026342325985;0.0188679245283019;0.0625;0.120581028408444;0.323880070044569
"Babbit & Sommers";NA;NA;176;0.02;0;"r";53;33;172;0.02;-0.017762505;1;3;0.0057097152;0.00584426366302137;0.00578034682080925;0.00591715976331361;0.0200026673068496;-0.0177643734161359
"Colliver et al. exp 1";NA;NA;114;0.05;0;"r";50;64;114;0.05;-0.014037388;1;3;0.00880536504424779;0.00884607028587869;0.00900900900900901;0.00900900900900901;0.0500417292784913;-0.0140383101233263
"Dovidio et al. ";NA;NA;33;0.16;0;"r";16.5;16.5;33;0.16;0.315260553;3;1;0.02967048;0.0253468682423937;0.0333333333333333;0.0333333333333333;0.161386696131526;0.326375833794
"Feldman & Donohoe exp 3";NA;NA;20;0.49;0;"o";10;10;20;0.49;0.371348207;2;1;0.0303920005263158;0.0391166993626466;0.0588235294117647;0.0588235294117647;0.536060336610567;0.389986056221259
"Feldman & Donohoe exp 1";NA;NA;36;0.61;0;"o";18;18;36;0.61;0.48403746;3;1;0.011264526;0.0167516668281924;0.0303030303030303;0.0303030303030303;0.708921359427408;0.528243750024641
"Holloway";NA;NA;63;-0.06;0;"r";39;24;63;-0.06;-0.147139451;2;3;0.0160131122580645;0.015438204632258;0.0166666666666667;0.0166666666666667;-0.0600721559210317;-0.148215318757516
"Littleford et al (2005)";NA;NA;123;-0.13;0;"o";82;41;123;-0.13;-0.13;0;2;0.00792201319672131;0.00792201319672131;0.00833333333333333;0.00833333333333333;-0.130739850028878;-0.130739850028878
"Mallet et al. exp 1";NA;NA;63;-0.12;0;"r";31;31;62;-0.12;-0.113508213;0;0;0.0156678606451613;0.015973733960122;0.0166666666666667;0.0169491525423729;-0.120581028408444;-0.11399950078211
"Mallet et al. exp 2";NA;NA;81;-0.11;0;"r";40.5;40.5;81;-0.11;-0.10533432;0;0;0.012199330125;0.0122241558520415;0.0128205128205128;0.0128205128205128;-0.110446915790097;-0.105726506818577
"Mendes et al. exp 2";NA;NA;62;-0.02;0;"r";NA;NA;62;-0.02;-0.02;0;2;0.0163803304918033;0.0163803304918033;0.0169491525423729;0.0169491525423729;-0.0200026673068496;-0.0200026673068496
"Norton et al. (2010) exp 1";NA;NA;44;-0.4;1;"o";22;22;44;-0.4;-0.392762831;0;0;0.0164093023255814;0.0166342251094443;0.024390243902439;0.024390243902439;-0.423648930193602;-0.415062631795554
"Norton et al. (2010) exp 2";NA;NA;76;-0.36;1;"o";38;38;76;-0.36;-0.341860052;0;0;0.0101012821333333;0.0103989547747358;0.0136986301369863;0.0136986301369863;-0.37688590118819;-0.356197216646774
"Richeson & Shelton";NA;NA;50;0.44;0;"o";25;25;50;0.44;0.44;0;2;0.01327104;0.01327104;0.0212765957446809;0.0212765957446809;0.472230804420426;0.472230804420426
"Sanchez-Burks et al. (2009)";NA;NA;45;0.06;0;"r";NA;NA;45;0.06;0.06;0;2;0.0225639309090909;0.0225639309090909;0.0238095238095238;0.0238095238095238;0.0600721559210317;0.0600721559210317
"Simpson & Erickson exp 1";NA;NA;16;-0.05;0;"r";8;8;16;-0.05;-0.137590193;2;3;0.06633375;0.0641664175105982;0.0769230769230769;0.0769230769230769;-0.0500417292784913;-0.138468433193953
"Trawalter & Richeson ";NA;NA;36;0.41;0;"o";20;16;36;0.41;0.257636084;3;3;0.0197730745714286;0.0249043747576503;0.0303030303030303;0.0303030303030303;0.435611223236224;0.263574769123257
"Word et al.";NA;NA;14;0.61;0;"o";7;7;14;0.61;0.627257776;0;0;0.03032757;0.0283000070063442;0.0909090909090909;0.0909090909090909;0.708921359427408;0.736882219397528
